city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,9
sj,2008,20,10
sj,2008,21,10
sj,2008,22,11
sj,2008,23,12
sj,2008,24,10
sj,2008,25,12
sj,2008,26,12
sj,2008,27,16
sj,2008,28,20
sj,2008,29,18
sj,2008,30,17
sj,2008,31,17
sj,2008,32,17
sj,2008,33,15
sj,2008,34,25
sj,2008,35,26
sj,2008,36,28
sj,2008,37,61
sj,2008,38,63
sj,2008,39,25
sj,2008,40,23
sj,2008,41,24
sj,2008,42,26
sj,2008,43,22
sj,2008,44,23
sj,2008,45,23
sj,2008,46,23
sj,2008,47,25
sj,2008,48,24
sj,2008,49,22
sj,2008,50,24
sj,2008,51,24
sj,2008,52,21
sj,2009,1,22
sj,2009,2,20
sj,2009,3,22
sj,2009,4,19
sj,2009,5,20
sj,2009,6,14
sj,2009,7,16
sj,2009,8,19
sj,2009,9,21
sj,2009,10,19
sj,2009,11,14
sj,2009,12,12
sj,2009,13,10
sj,2009,14,8
sj,2009,15,10
sj,2009,16,13
sj,2009,17,10
sj,2009,18,9
sj,2009,19,11
sj,2009,20,13
sj,2009,21,14
sj,2009,22,16
sj,2009,23,17
sj,2009,24,14
sj,2009,25,13
sj,2009,26,13
sj,2009,27,13
sj,2009,28,14
sj,2009,29,17
sj,2009,30,20
sj,2009,31,18
sj,2009,32,19
sj,2009,33,19
sj,2009,34,19
sj,2009,35,17
sj,2009,36,15
sj,2009,37,21
sj,2009,38,23
sj,2009,39,20
sj,2009,40,21
sj,2009,41,68
sj,2009,42,27
sj,2009,43,24
sj,2009,44,20
sj,2009,45,14
sj,2009,46,16
sj,2009,47,14
sj,2009,48,19
sj,2009,49,21
sj,2009,50,20
sj,2009,51,24
sj,2009,52,22
sj,2010,53,20
sj,2010,1,18
sj,2010,2,20
sj,2010,3,25
sj,2010,4,26
sj,2010,5,28
sj,2010,6,22
sj,2010,7,21
sj,2010,8,19
sj,2010,9,13
sj,2010,10,14
sj,2010,11,12
sj,2010,12,9
sj,2010,13,9
sj,2010,14,10
sj,2010,15,11
sj,2010,16,11
sj,2010,17,10
sj,2010,18,12
sj,2010,19,12
sj,2010,20,15
sj,2010,21,12
sj,2010,22,17
sj,2010,23,17
sj,2010,24,67
sj,2010,25,22
sj,2010,26,20
sj,2010,27,18
sj,2010,28,16
sj,2010,29,63
sj,2010,30,24
sj,2010,31,62
sj,2010,32,66
sj,2010,33,71
sj,2010,34,70
sj,2010,35,68
sj,2010,36,68
sj,2010,37,68
sj,2010,38,60
sj,2010,39,32
sj,2010,40,31
sj,2010,41,28
sj,2010,42,30
sj,2010,43,26
sj,2010,44,59
sj,2010,45,26
sj,2010,46,27
sj,2010,47,25
sj,2010,48,21
sj,2010,49,18
sj,2010,50,16
sj,2010,51,17
sj,2011,52,16
sj,2011,1,18
sj,2011,2,23
sj,2011,3,26
sj,2011,4,24
sj,2011,5,18
sj,2011,6,17
sj,2011,7,14
sj,2011,8,13
sj,2011,9,18
sj,2011,10,15
sj,2011,11,11
sj,2011,12,12
sj,2011,13,13
sj,2011,14,15
sj,2011,15,16
sj,2011,16,15
sj,2011,17,11
sj,2011,18,10
sj,2011,19,11
sj,2011,20,13
sj,2011,21,17
sj,2011,22,17
sj,2011,23,18
sj,2011,24,19
sj,2011,25,20
sj,2011,26,21
sj,2011,27,22
sj,2011,28,63
sj,2011,29,21
sj,2011,30,21
sj,2011,31,25
sj,2011,32,177
sj,2011,33,67
sj,2011,34,95
sj,2011,35,63
sj,2011,36,60
sj,2011,37,26
sj,2011,38,25
sj,2011,39,31
sj,2011,40,29
sj,2011,41,32
sj,2011,42,26
sj,2011,43,16
sj,2011,44,15
sj,2011,45,21
sj,2011,46,27
sj,2011,47,29
sj,2011,48,29
sj,2011,49,28
sj,2011,50,26
sj,2011,51,25
sj,2012,52,25
sj,2012,1,21
sj,2012,2,22
sj,2012,3,20
sj,2012,4,21
sj,2012,5,21
sj,2012,6,21
sj,2012,7,14
sj,2012,8,14
sj,2012,9,12
sj,2012,10,19
sj,2012,11,12
sj,2012,12,11
sj,2012,13,12
sj,2012,14,12
sj,2012,15,13
sj,2012,16,18
sj,2012,17,18
sj,2012,18,16
sj,2012,19,17
sj,2012,20,18
sj,2012,21,17
sj,2012,22,14
sj,2012,23,15
sj,2012,24,12
sj,2012,25,16
sj,2012,26,17
sj,2012,27,17
sj,2012,28,19
sj,2012,29,18
sj,2012,30,17
sj,2012,31,15
sj,2012,32,20
sj,2012,33,19
sj,2012,34,22
sj,2012,35,24
sj,2012,36,22
sj,2012,37,18
sj,2012,38,22
sj,2012,39,23
sj,2012,40,26
sj,2012,41,25
sj,2012,42,29
sj,2012,43,31
sj,2012,44,30
sj,2012,45,17
sj,2012,46,18
sj,2012,47,19
sj,2012,48,20
sj,2012,49,19
sj,2012,50,15
sj,2012,51,14
sj,2013,1,17
sj,2013,2,17
sj,2013,3,17
sj,2013,4,18
sj,2013,5,16
sj,2013,6,16
sj,2013,7,21
sj,2013,8,14
sj,2013,9,14
sj,2013,10,12
sj,2013,11,10
sj,2013,12,11
sj,2013,13,10
sj,2013,14,12
sj,2013,15,8
sj,2013,16,9
sj,2013,17,10
iq,2010,26,2
iq,2010,27,3
iq,2010,28,3
iq,2010,29,4
iq,2010,30,2
iq,2010,31,1
iq,2010,32,2
iq,2010,33,1
iq,2010,34,2
iq,2010,35,1
iq,2010,36,3
iq,2010,37,3
iq,2010,38,2
iq,2010,39,2
iq,2010,40,2
iq,2010,41,1
iq,2010,42,3
iq,2010,43,4
iq,2010,44,3
iq,2010,45,3
iq,2010,46,4
iq,2010,47,3
iq,2010,48,4
iq,2010,49,3
iq,2010,50,3
iq,2010,51,2
iq,2011,52,3
iq,2011,1,3
iq,2011,2,5
iq,2011,3,3
iq,2011,4,2
iq,2011,5,1
iq,2011,6,3
iq,2011,7,3
iq,2011,8,5
iq,2011,9,6
iq,2011,10,4
iq,2011,11,5
iq,2011,12,5
iq,2011,13,5
iq,2011,14,6
iq,2011,15,4
iq,2011,16,4
iq,2011,17,4
iq,2011,18,4
iq,2011,19,4
iq,2011,20,2
iq,2011,21,1
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,1
iq,2011,26,2
iq,2011,27,1
iq,2011,28,2
iq,2011,29,4
iq,2011,30,2
iq,2011,31,2
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,2
iq,2011,38,2
iq,2011,39,3
iq,2011,40,4
iq,2011,41,3
iq,2011,42,3
iq,2011,43,3
iq,2011,44,3
iq,2011,45,3
iq,2011,46,3
iq,2011,47,3
iq,2011,48,3
iq,2011,49,4
iq,2011,50,3
iq,2011,51,3
iq,2012,52,4
iq,2012,1,3
iq,2012,2,3
iq,2012,3,2
iq,2012,4,3
iq,2012,5,3
iq,2012,6,3
iq,2012,7,3
iq,2012,8,4
iq,2012,9,3
iq,2012,10,3
iq,2012,11,3
iq,2012,12,2
iq,2012,13,2
iq,2012,14,2
iq,2012,15,4
iq,2012,16,4
iq,2012,17,4
iq,2012,18,4
iq,2012,19,3
iq,2012,20,3
iq,2012,21,3
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,3
iq,2012,26,2
iq,2012,27,2
iq,2012,28,1
iq,2012,29,2
iq,2012,30,2
iq,2012,31,2
iq,2012,32,3
iq,2012,33,2
iq,2012,34,2
iq,2012,35,2
iq,2012,36,1
iq,2012,37,2
iq,2012,38,2
iq,2012,39,1
iq,2012,40,1
iq,2012,41,2
iq,2012,42,3
iq,2012,43,4
iq,2012,44,3
iq,2012,45,4
iq,2012,46,4
iq,2012,47,4
iq,2012,48,4
iq,2012,49,4
iq,2012,50,5
iq,2012,51,4
iq,2013,1,6
iq,2013,2,4
iq,2013,3,3
iq,2013,4,3
iq,2013,5,2
iq,2013,6,4
iq,2013,7,3
iq,2013,8,6
iq,2013,9,4
iq,2013,10,5
iq,2013,11,6
iq,2013,12,5
iq,2013,13,5
iq,2013,14,5
iq,2013,15,5
iq,2013,16,6
iq,2013,17,4
iq,2013,18,2
iq,2013,19,4
iq,2013,20,4
iq,2013,21,3
iq,2013,22,2
iq,2013,23,2
iq,2013,24,3
iq,2013,25,2
iq,2013,26,4
